,id,date,speed,date1,t_date,t_time,holiday,daybefore,is_weekend,pressure,weather1,temper,weather2,weather3,wet,cloud,rain,weather4,weather5,wind,weekday
0,0,1/1/2017 0:00,43.00293016,2017/1/1 0:00,2017/1/1,0:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
1,1,1/1/2017 1:00,46.11869568,2017/1/1 1:00,2017/1/1,1:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
2,2,1/1/2017 2:00,44.29415804,2017/1/1 2:00,2017/1/1,2:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
3,3,1/1/2017 3:00,41.06746764,2017/1/1 3:00,2017/1/1,3:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
4,4,1/1/2017 4:00,46.44865313,2017/1/1 4:00,2017/1/1,4:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
5,5,1/1/2017 5:00,46.79776582,2017/1/1 5:00,2017/1/1,5:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
6,6,1/1/2017 6:00,44.4049252,2017/1/1 6:00,2017/1/1,6:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
7,7,1/1/2017 7:00,45.25589692,2017/1/1 7:00,2017/1/1,7:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
8,8,1/1/2017 8:00,45.68085866,2017/1/1 8:00,2017/1/1,8:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
9,9,1/1/2017 9:00,48.43567634,2017/1/1 9:00,2017/1/1,9:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
10,10,1/1/2017 10:00,49.4570539,2017/1/1 10:00,2017/1/1,10:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
11,11,1/1/2017 11:00,41.9685186,2017/1/1 11:00,2017/1/1,11:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
12,12,1/1/2017 12:00,42.72473472,2017/1/1 12:00,2017/1/1,12:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
13,13,1/1/2017 13:00,47.93645857,2017/1/1 13:00,2017/1/1,13:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
14,14,1/1/2017 14:00,45.97188063,2017/1/1 14:00,2017/1/1,14:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
15,15,1/1/2017 15:00,41.35986149,2017/1/1 15:00,2017/1/1,15:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
16,16,1/1/2017 16:00,43.86803313,2017/1/1 16:00,2017/1/1,16:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
17,17,1/1/2017 17:00,47.61554073,2017/1/1 17:00,2017/1/1,17:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
18,18,1/1/2017 18:00,38.35276019,2017/1/1 18:00,2017/1/1,18:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
19,19,1/1/2017 19:00,47.26892837,2017/1/1 19:00,2017/1/1,19:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
20,20,1/1/2017 20:00,46.44475569,2017/1/1 20:00,2017/1/1,20:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
21,21,1/1/2017 21:00,41.9819084,2017/1/1 21:00,2017/1/1,21:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
22,22,1/1/2017 22:00,39.81723982,2017/1/1 22:00,2017/1/1,22:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
23,23,1/1/2017 23:00,44.27782113,2017/1/1 23:00,2017/1/1,23:00:00,1,0,1,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2,7
24,24,2/1/2017 0:00,47.62156284,2017/1/2 0:00,2017/1/2,0:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
25,25,2/1/2017 1:00,47.07016077,2017/1/2 1:00,2017/1/2,1:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
26,26,2/1/2017 2:00,46.89492264,2017/1/2 2:00,2017/1/2,2:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
27,27,2/1/2017 3:00,47.0613949,2017/1/2 3:00,2017/1/2,3:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
28,28,2/1/2017 4:00,47.01615626,2017/1/2 4:00,2017/1/2,4:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
29,29,2/1/2017 5:00,44.82629585,2017/1/2 5:00,2017/1/2,5:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
30,30,2/1/2017 6:00,42.37291267,2017/1/2 6:00,2017/1/2,6:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
31,31,2/1/2017 7:00,41.03940657,2017/1/2 7:00,2017/1/2,7:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
32,32,2/1/2017 8:00,28.42375086,2017/1/2 8:00,2017/1/2,8:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
33,33,2/1/2017 9:00,33.6611834,2017/1/2 9:00,2017/1/2,9:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
34,34,2/1/2017 10:00,39.49302198,2017/1/2 10:00,2017/1/2,10:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
35,35,2/1/2017 11:00,32.44394381,2017/1/2 11:00,2017/1/2,11:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
36,36,2/1/2017 12:00,22.15993177,2017/1/2 12:00,2017/1/2,12:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
37,37,2/1/2017 13:00,24.32208805,2017/1/2 13:00,2017/1/2,13:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
38,38,2/1/2017 14:00,25.68121704,2017/1/2 14:00,2017/1/2,14:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
39,39,2/1/2017 15:00,23.9444901,2017/1/2 15:00,2017/1/2,15:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
40,40,2/1/2017 16:00,18.73019161,2017/1/2 16:00,2017/1/2,16:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
41,41,2/1/2017 17:00,18.97422526,2017/1/2 17:00,2017/1/2,17:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
42,42,2/1/2017 18:00,20.09936358,2017/1/2 18:00,2017/1/2,18:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
43,43,2/1/2017 19:00,30.30038076,2017/1/2 19:00,2017/1/2,19:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
44,44,2/1/2017 20:00,38.23933239,2017/1/2 20:00,2017/1/2,20:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
45,45,2/1/2017 21:00,44.18686543,2017/1/2 21:00,2017/1/2,21:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
46,46,2/1/2017 22:00,42.60273783,2017/1/2 22:00,2017/1/2,22:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
47,47,2/1/2017 23:00,44.89217148,2017/1/2 23:00,2017/1/2,23:00:00,1,0,0,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6,1
48,48,3/1/2017 0:00,48.66582335,2017/1/3 0:00,2017/1/3,0:00:00,0,0,0,1019.8,21.3,20,18.9,17.1,83,56,0,3.8,70,26.1,2
49,49,3/1/2017 1:00,49.25749603,2017/1/3 1:00,2017/1/3,1:00:00,0,0,0,1019.8,21.3,20,18.9,17.1,83,56,0,3.8,70,26.1,2
50,50,3/1/2017 2:00,46.44221828,2017/1/3 2:00,2017/1/3,2:00:00,0,0,0,1019.8,21.3,20,18.9,17.1,83,56,0,3.8,70,26.1,2
51,51,3/1/2017 3:00,48.86047714,2017/1/3 3:00,2017/1/3,3:00:00,0,0,0,1019.8,21.3,20,18.9,17.1,83,56,0,3.8,70,26.1,2
52,52,3/1/2017 4:00,47.15122779,2017/1/3 4:00,2017/1/3,4:00:00,0,0,0,1019.8,21.3,20,18.9,17.1,83,56,0,3.8,70,26.1,2
53,53,3/1/2017 5:00,45.46067216,2017/1/3 5:00,2017/1/3,5:00:00,0,0,0,1019.8,21.3,20,18.9,17.1,83,56,0,3.8,70,26.1,2
54,54,3/1/2017 6:00,43.32843989,2017/1/3 6:00,2017/1/3,6:00:00,0,0,0,1019.8,21.3,20,18.9,17.1,83,56,0,3.8,70,26.1,2
55,55,3/1/2017 7:00,23.93352837,2017/1/3 7:00,2017/1/3,7:00:00,0,0,0,1019.8,21.3,20,18.9,17.1,83,56,0,3.8,70,26.1,2
56,56,3/1/2017 8:00,16.92674997,2017/1/3 8:00,2017/1/3,8:00:00,0,0,0,1019.8,21.3,20,18.9,17.1,83,56,0,3.8,70,26.1,2
57,57,3/1/2017 9:00,19.09222538,2017/1/3 9:00,2017/1/3,9:00:00,0,0,0,1019.8,21.3,20,18.9,17.1,83,56,0,3.8,70,26.1,2
58,58,3/1/2017 10:00,33.11256658,2017/1/3 10:00,2017/1/3,10:00:00,0,0,0,1019.8,21.3,20,18.9,17.1,83,56,0,3.8,70,26.1,2
59,59,3/1/2017 11:00,19.44291389,2017/1/3 11:00,2017/1/3,11:00:00,0,0,0,1019.8,21.3,20,18.9,17.1,83,56,0,3.8,70,26.1,2
60,60,3/1/2017 12:00,29.79058532,2017/1/3 12:00,2017/1/3,12:00:00,0,0,0,1019.8,21.3,20,18.9,17.1,83,56,0,3.8,70,26.1,2
61,61,3/1/2017 13:00,30.78994075,2017/1/3 13:00,2017/1/3,13:00:00,0,0,0,1019.8,21.3,20,18.9,17.1,83,56,0,3.8,70,26.1,2
